"day","year","month","date","time","address","district","accident_types","suspect_vehicle","victim_vehicle","lat","long"
"Monday","2018","1","15","Night","barawaja","panakkukang","TL","R4","R2","-5.1357031","119.4402319"
"Sunday","2018","1","14","Evening","pettarani","rappocini","TK","R2","R4","-5.1510383","119.4374766"
"Wednesday","2018","1","10","Afternoon","insinyur sutami","tamalanrea","OC","R2","NOV","-5.085731","119.4904613"
"Saturday","2018","1","13","Afternoon","pettarani","panakkukang","TK","R4","R4","-5.1487126","119.4380057"
"Tuesday","2018","1","16","Afternoon","pettarani","panakkukang","TK","R4","R4","-5.1487126","119.4380057"
"Saturday","2018","1","13","Evening","dangko","tamalate","TL","R2","R2","-5.1811574","119.4128553"
"Wednesday","2018","1","17","Morning","pettarani","panakkukang","TK","R2","R4","-5.1487126","119.4380057"
"Wednesday","2018","1","17","Afternoon","serigala","mamajang","TK","R4","R4","-5.1607129","119.4210329"
"Tuesday","2018","1","16","Afternoon","dr. leimena","manggala","OC","R2","NOV","-5.1499864","119.4710753"
"Thursday","2018","1","18","Afternoon","daeng tata raya","tamalate","OC","R2","NOV","-5.1850019","119.423432"
"Sunday","2018","1","14","Morning","jenderal ahmad yani","ujung pandang","TL","R4","R2","-5.1329527","119.4103466"
"Tuesday","2018","1","16","Afternoon","bandang","bontoala","OC","R2","NOV","-5.1329092","119.4213666"
"Friday","2018","1","19","Morning","mesjid raya","bontoala","TK","R4","R2","-5.1333841","119.4274196"
"Friday","2018","1","19","Morning","jenderal sudirman","ujung pandang","TK","R4","R2","-5.1345222","119.4137962"
"Friday","2018","1","19","Morning","andi mappaodang","tamalate","TK","R2","R4","-5.1732205","119.4158686"
"Saturday","2018","1","20","Evening","kerung-kerung","makassar","TK","R2","R2","-5.1402349","119.4257622"
"Sunday","2018","1","21","Night","jenderal ahmad yani","ujung pandang","TK","R2","Rro","-5.1329527","119.4103466"
"Friday","2018","1","19","Evening","perintis kemerdekaan","biringkanaya","TK","R2","R2","-5.117784","119.5110136"
"Thursday","2018","1","18","Night","metro tanjung bunga","tamalate","OC","TR","NOV","-5.1661576","119.3917443"
"Thursday","2018","1","18","Night","sam ratulangi","makassar","TL","R4","R2","-5.1499595","119.4158152"
"Monday","2018","1","8","Evening","rusa","makassar","TL","R4","R2","-5.1502899","119.4217149"
"Saturday","2018","1","20","Evening","pettarani","panakkukang","TK","R2","R4","-5.1487126","119.4380057"
"Monday","2018","1","22","Evening","pengayoman","panakkukang","TK","R2","R4","-5.1592732","119.4466246"
"Saturday","2018","1","20","Evening","telegraph utama","biringkanaya","TK","R2","R4","-5.13054","119.5149116"
"Saturday","2018","1","20","Evening","perintis kemerdekaan","biringkanaya","TL","R4","R4","-5.117784","119.5110136"
"Sunday","2018","1","21","Evening","poros perumnas sudiang","biringkanaya","OC","R2","NOV","-5.102836","119.532664"
"Sunday","2018","1","21","Afternoon","urip sumuharjo","panakkukang","OC","R2","NOV","-5.1348243","119.4316818"
"Saturday","2018","1","19","Afternoon","rutan","rappocini","TL","R2","NOV","-5.17339175","119.43726876807"
"Friday","2018","1","19","Afternoon","cendrawasih","mariso","OC","R2","NOV","-5.155219","119.4137008"
"Friday","2018","1","6","Evening","urip sumuharjo","panakkukang","OC","R2","NOV","-5.1348243","119.4316818"
"Saturday","2018","1","25","Night","datu musseng","ujung pandang","TK","R4","R4","-5.1434702","119.409872"
"Thursday","2018","1","25","Morning","mallombassang","tamalate","TK","R2","R2","-5.1754863","119.4156656"
"Thursday","2018","1","24","Afternoon","jenderal sudirman","ujung pandang","TK","R4","R2","-5.1345222","119.4137962"
"Wednesday","2018","1","24","Morning","cendrawasih","mariso","TK","R2","R2","-5.155219","119.4137008"
"Wednesday","2018","1","26","Afternoon","sam ratulangi","mamajang","TL","R2","NOV","-5.1545939","119.4163683"
"Friday","2018","1","23","Night","datu musseng","ujung pandang","TL","R4","R4","-5.1434702","119.409872"
"Tuesday","2018","1","25","Night","antang raya","manggala","TK","R2","R2","-5.1602384","119.4774127"
"Thursday","2018","1","25","Evening","muhajirin","tamalate","TK","R4","R4","-5.1863896","119.4323543"
"Thursday","2018","1","24","Evening","batua raya","panakkukang","TL","R4","R4","-5.1496211","119.4605657"
"Wednesday","2018","1","25","Afternoon","daeng tata raya","tamalate","OC","R2","NOV","-5.1850019","119.423432"
"Thursday","2018","1","25","Afternoon","pettarani","rappocini","TL","R4","R4","-5.1510383","119.4374766"
"Thursday","2018","1","26","Morning","perintis kemerdekaan","biringkanaya","TL","R4","R2","-5.117784","119.5110136"
"Friday","2018","1","25","Morning","kima raya","biringkanaya","TK","R2","R2","-5.1103799","119.5032456"
"Thursday","2018","1","26","Morning","perintis kemerdekaan","biringkanaya","TK","R4","R4","-5.117784","119.5110136"
"Friday","2018","1","28","Morning","veteran utara","makassar","TK","R4","R2","-5.1392193","119.4233132"
"Sunday","2018","1","28","Night","pelita raya","rappocini","OC","R4","NOV","-5.1528655","119.4341715"
"Sunday","2018","1","26","Night","urip sumuharjo","makassar","OC","R2","NOV","-5.1348243","119.4316818"
"Friday","2018","1","26","Morning","perintis kemerdekaan","tamalanrea","T","R2","NOV","-5.1402715","119.4832943739"
"Friday","2018","1","29","Evening","tala' salapang i","rappocini","TL","R2","NOV","-5.1829836","119.4475458"
"Monday","2018","1","29","Evening","profesor abdurrahman basalamah","panakkukang","TK","R2","R2","-5.1471505","119.4492661"
"Monday","2018","1","27","Afternoon","letjen hertasning","rappocini","TK","R2","R4","-5.1630661","119.4444202"
"Saturday","2018","1","28","Morning","veteran selatan","mamajang","TL","R4","R2","-5.162773","119.4212589"
"Sunday","2018","1","29","Night","gunung bawakaraeng","ujung pandang","TK","R2","R2","-5.1348657","119.4243319"
"Monday","2018","1","30","Afternoon","kerukunan timur 1","tamalanrea","TM","R2","NOV","-5.1396032","119.5097252"
"Tuesday","2018","1","30","Evening","salodong","biringkanaya","TK","R4","R2","-5.0751774","119.4830507"
"Tuesday","2018","1","30","Night","sungai saddang","makassar","TK","R4","R2","-5.1468435","119.4250654"
"Tuesday","2018","1","30","Morning","urip sumuharjo","panakkukang","TL","R4","R2","-5.1348243","119.4316818"
"Tuesday","2018","1","28","Afternoon","ujung bor","manggala","TL","R4","R2","-5.1656257","119.5074161"
"Sunday","2018","1","30","Morning","kartini","ujung pandang","TL","R2","NOV","-5.136049","119.413662"
"Tuesday","2018","1","31","Afternoon","urip sumuharjo","panakkukang","TL","R4","R2","-5.1348243","119.4316818"
"Wednesday","2018","1","31","Morning","cendrawasih","mariso","TK","R2","R2","-5.155219","119.4137008"
"Wednesday","2018","1","31","Morning","perintis kemerdekaan","tamalanrea","TM","R2","NOV","-5.1402715","119.4832943739"
"Wednesday","2018","1","30","Morning","dg. regge","tallo","TL","R4","R2","-5.1249285","119.433072"
"Tuesday","2018","2","1","Evening","andi mappaodang","tamalate","TL","R2","R2","-5.1732205","119.4158686"
"Thursday","2018","2","2","Morning","urip sumuharjo","panakkukang","TL","R2","NOV","-5.1348243","119.4316818"
"Friday","2018","2","2","Morning","veteran utara","makassar","TM","R2","NOV","-5.1392193","119.4233132"
"Friday","2018","2","2","Night","metro tanjung bunga","mariso","OC","R2","NOV","-5.1523252","119.4054678"
"Friday","2018","2","2","Morning","borong raya","manggala","TK","R2","R2","-5.1620883","119.4635886"
"Friday","2018","2","1","Afternoon","inspeksi pam","makassar","TL","R2","NOV","-5.1501163","119.4756964"
"Thursday","2018","2","2","Morning","perintis kemerdekaan","tamalanrea","OC","R2","NOV","-5.1402715","119.4832943739"
"Friday","2018","2","4","Evening","urip sumuharjo","panakkukang","TK","R4","R4","-5.1348243","119.4316818"
"Sunday","2018","2","4","Evening","pettarani","panakkukang","OC","R2","NOV","-5.1487126","119.4380057"
"Sunday","2018","2","4","Afternoon","cendrawasih","mariso","TL","R2","R2","-5.155219","119.4137008"
"Sunday","2018","2","3","Morning","urip sumuharjo","panakkukang","OC","B2","NOV","-5.1348243","119.4316818"
"Saturday","2018","2","3","Morning","sungai saddang","ujung pandang","TL","R2","R2","-5.1468435","119.4250654"
"Saturday","2018","2","2","Morning","mesjid raya","bontoala","TL","R4","R2","-5.1333841","119.4274196"
"Friday","2018","2","2","Evening","perintis kemerdekaan","panakkukang","TK","R2","R2","-5.1451058","119.4735564"
"Friday","2018","2","1","Afternoon","inspeksi kanal","panakkukang","TL","R4","B1","-5.1313688","119.4518812"
"Thursday","2018","2","4","Afternoon","antang raya","manggala","OC","R2","NOV","-5.1602384","119.4774127"
"Sunday","2018","1","30","Evening","urip sumuharjo","panakkukang","TL","R2","R2","-5.1348243","119.4316818"
"Tuesday","2018","2","1","Morning","kima raya","tamalanrea","TK","R2","TR","-5.0948327","119.5073649"
"Thursday","2018","2","5","Morning","paccerakkang","biringkanaya","TM","R2","NOV","-5.1239434","119.5224673"
